root@ubuntu-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0 tcp
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
19:19:42.094416 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 261412187:261412295, ack 472347755, win 501, options [nop,nop,TS val 1730238418 ecr 407624490], length 108
19:19:42.507478 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 18864:19160, ack 1, win 501, options [nop,nop,TS val 1730238831 ecr 407624910], length 296
19:19:42.507611 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 19160:19456, ack 1, win 501, options [nop,nop,TS val 1730238832 ecr 407624910], length 296
19:19:42.507738 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 19456:19752, ack 1, win 501, options [nop,nop,TS val 1730238832 ecr 407624910], length 296
19:19:42.507820 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 19752:20292, ack 1, win 501, options [nop,nop,TS val 1730238832 ecr 407624910], length 540
19:19:42.507941 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 20292:20328, ack 1, win 501, options [nop,nop,TS val 1730238832 ecr 407624910], length 36
19:19:42.508015 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 20328:20588, ack 1, win 501, options [nop,nop,TS val 1730238832 ecr 407624910], length 260
19:19:42.508146 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 20588:20868, ack 1, win 501, options [nop,nop,TS val 1730238832 ecr 407624910], length 280
19:19:42.508291 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 20868:20904, ack 1, win 501, options [nop,nop,TS val 1730238832 ecr 407624910], length 36
19:19:42.563574 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 20868:20904, ack 1, win 501, options [nop,nop,TS val 1730238888 ecr 407624910], length 36
19:19:42.607800 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 20904:21164, ack 1, win 501, options [nop,nop,TS val 1730238932 ecr 407624910], length 260
19:19:42.607968 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 21164:21460, ack 1, win 501, options [nop,nop,TS val 1730238932 ecr 407624910], length 296
19:19:42.608153 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 21460:21792, ack 1, win 501, options [nop,nop,TS val 1730238932 ecr 407624910], length 332
19:19:42.608333 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 21792:22348, ack 1, win 501, options [nop,nop,TS val 1730238932 ecr 407624910], length 556
19:19:42.608505 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 22348:22644, ack 1, win 501, options [nop,nop,TS val 1730238932 ecr 407624910], length 296
19:19:42.608632 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 22644:22976, ack 1, win 501, options [nop,nop,TS val 1730238933 ecr 407624910], length 332
19:19:42.608775 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 22976:23236, ack 1, win 501, options [nop,nop,TS val 1730238933 ecr 407624910], length 260
19:19:42.608871 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 23236:23532, ack 1, win 501, options [nop,nop,TS val 1730238933 ecr 407624910], length 296
19:19:42.609023 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 23532:23864, ack 1, win 501, options [nop,nop,TS val 1730238933 ecr 407624910], length 332
19:19:42.609326 IP cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841 > ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 20904, win 6966, options [nop,nop,TS val 407625086 ecr 1730238832], length 0
19:19:42.609406 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 23864:24124, ack 1, win 501, options [nop,nop,TS val 1730238933 ecr 407625086], length 260
19:19:42.609532 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 24124:24420, ack 1, win 501, options [nop,nop,TS val 1730238934 ecr 407625086], length 296
19:19:42.609670 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 24420:24716, ack 1, win 501, options [nop,nop,TS val 1730238934 ecr 407625086], length 296
19:19:42.609795 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 24716:25048, ack 1, win 501, options [nop,nop,TS val 1730238934 ecr 407625086], length 332
19:19:42.609940 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 25048:25344, ack 1, win 501, options [nop,nop,TS val 1730238934 ecr 407625086], length 296
19:19:42.610085 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 25344:25640, ack 1, win 501, options [nop,nop,TS val 1730238934 ecr 407625086], length 296
19:19:42.610237 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 25640:25936, ack 1, win 501, options [nop,nop,TS val 1730238934 ecr 407625086], length 296
19:19:42.610348 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 25936:26232, ack 1, win 501, options [nop,nop,TS val 1730238934 ecr 407625086], length 296
19:19:42.610445 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 26232:26528, ack 1, win 501, options [nop,nop,TS val 1730238934 ecr 407625086], length 296
19:19:42.610541 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 26528:26824, ack 1, win 501, options [nop,nop,TS val 1730238935 ecr 407625086], length 296
19:19:42.610645 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 26824:27120, ack 1, win 501, options [nop,nop,TS val 1730238935 ecr 407625086], length 296
19:19:42.610744 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 27120:27380, ack 1, win 501, options [nop,nop,TS val 1730238935 ecr 407625086], length 260
19:19:42.610833 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 27380:27676, ack 1, win 501, options [nop,nop,TS val 1730238935 ecr 407625086], length 296
19:19:42.610930 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 27676:27712, ack 1, win 501, options [nop,nop,TS val 1730238935 ecr 407625086], length 36
19:19:42.610981 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 27712:27972, ack 1, win 501, options [nop,nop,TS val 1730238935 ecr 407625086], length 260
19:19:42.611069 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 27972:28268, ack 1, win 501, options [nop,nop,TS val 1730238935 ecr 407625086], length 296
19:19:42.611196 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 28268:28600, ack 1, win 501, options [nop,nop,TS val 1730238935 ecr 407625086], length 332
19:19:42.611306 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 28600:28860, ack 1, win 501, options [nop,nop,TS val 1730238935 ecr 407625086], length 260
19:19:42.611388 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 28860:29156, ack 1, win 501, options [nop,nop,TS val 1730238935 ecr 407625086], length 296
19:19:42.611497 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 29156:29192, ack 1, win 501, options [nop,nop,TS val 1730238935 ecr 407625086], length 36
19:19:42.611553 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 29192:29452, ack 1, win 501, options [nop,nop,TS val 1730238936 ecr 407625086], length 260
19:19:42.611613 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 29452:29488, ack 1, win 501, options [nop,nop,TS val 1730238936 ecr 407625086], length 36
19:19:42.611738 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 29488:29748, ack 1, win 501, options [nop,nop,TS val 1730238936 ecr 407625086], length 260
19:19:42.611830 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 29748:29784, ack 1, win 501, options [nop,nop,TS val 1730238936 ecr 407625086], length 36
19:19:42.611909 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 29784:30044, ack 1, win 501, options [nop,nop,TS val 1730238936 ecr 407625086], length 260
19:19:42.612002 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 30044:30340, ack 1, win 501, options [nop,nop,TS val 1730238936 ecr 407625086], length 296
19:19:42.612041 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 30340:30376, ack 1, win 501, options [nop,nop,TS val 1730238936 ecr 407625086], length 36
19:19:42.612154 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 30376:30636, ack 1, win 501, options [nop,nop,TS val 1730238936 ecr 407625086], length 260
19:19:42.612264 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 30636:31156, ack 1, win 501, options [nop,nop,TS val 1730238936 ecr 407625086], length 520
19:19:42.612361 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 31156:31452, ack 1, win 501, options [nop,nop,TS val 1730238936 ecr 407625086], length 296
19:19:42.612455 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 31452:31712, ack 1, win 501, options [nop,nop,TS val 1730238936 ecr 407625086], length 260
19:19:42.612593 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 31712:31748, ack 1, win 501, options [nop,nop,TS val 1730238937 ecr 407625086], length 36
19:19:42.612643 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 31748:32008, ack 1, win 501, options [nop,nop,TS val 1730238937 ecr 407625086], length 260
19:19:42.612752 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 32008:32492, ack 1, win 501, options [nop,nop,TS val 1730238937 ecr 407625086], length 484
19:19:42.612899 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 32492:32976, ack 1, win 501, options [nop,nop,TS val 1730238937 ecr 407625086], length 484
19:19:42.613037 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 32976:33012, ack 1, win 501, options [nop,nop,TS val 1730238937 ecr 407625086], length 36
19:19:42.617843 IP cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841 > ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 20904, win 6966, options [nop,nop,TS val 407625086 ecr 1730238888,nop,nop,sack 1 {20868:20904}], length 0
19:19:42.626443 IP cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841 > ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 28860, win 7002, options [nop,nop,TS val 407625102 ecr 1730238935], length 0
19:19:42.635069 IP cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841 > ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 1:37, ack 28860, win 7002, options [nop,nop,TS val 407625102 ecr 1730238935], length 36
19:19:42.635070 IP cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841 > ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 33012, win 7002, options [nop,nop,TS val 407625104 ecr 1730238937], length 0
19:19:42.675601 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [.], ack 37, win 501, options [nop,nop,TS val 1730239000 ecr 407625102], length 0
19:19:42.712012 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 33012:34608, ack 37, win 501, options [nop,nop,TS val 1730239036 ecr 407625102], length 1596
19:19:42.712362 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 34608:37504, ack 37, win 501, options [nop,nop,TS val 1730239036 ecr 407625102], length 2896
19:19:42.712473 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 37504:37532, ack 37, win 501, options [nop,nop,TS val 1730239036 ecr 407625102], length 28
19:19:42.712565 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 37532:38464, ack 37, win 501, options [nop,nop,TS val 1730239037 ecr 407625102], length 932
19:19:42.712717 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 38464:38948, ack 37, win 501, options [nop,nop,TS val 1730239037 ecr 407625102], length 484
19:19:42.712826 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 38948:39692, ack 37, win 501, options [nop,nop,TS val 1730239037 ecr 407625102], length 744
19:19:42.712926 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 39692:40400, ack 37, win 501, options [nop,nop,TS val 1730239037 ecr 407625102], length 708
19:19:42.713046 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 40400:41108, ack 37, win 501, options [nop,nop,TS val 1730239037 ecr 407625102], length 708
19:19:42.713329 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 41108:41592, ack 37, win 501, options [nop,nop,TS val 1730239037 ecr 407625102], length 484
19:19:42.713448 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 41592:41852, ack 37, win 501, options [nop,nop,TS val 1730239037 ecr 407625102], length 260
19:19:42.713553 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 41852:41888, ack 37, win 501, options [nop,nop,TS val 1730239038 ecr 407625102], length 36
19:19:42.713637 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 41888:42372, ack 37, win 501, options [nop,nop,TS val 1730239038 ecr 407625102], length 484
19:19:42.713752 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 42372:42632, ack 37, win 501, options [nop,nop,TS val 1730239038 ecr 407625102], length 260
19:19:42.713879 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 42632:43340, ack 37, win 501, options [nop,nop,TS val 1730239038 ecr 407625102], length 708
19:19:42.714065 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 43340:44264, ack 37, win 501, options [nop,nop,TS val 1730239038 ecr 407625102], length 924
19:19:42.714218 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 44264:44932, ack 37, win 501, options [nop,nop,TS val 1730239038 ecr 407625102], length 668
19:19:42.734376 IP cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841 > ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 44932, win 7002, options [nop,nop,TS val 407625205 ecr 1730239038], length 0
19:19:42.815769 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 44932:45192, ack 37, win 501, options [nop,nop,TS val 1730239140 ecr 407625205], length 260
19:19:42.815983 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 45192:46348, ack 37, win 501, options [nop,nop,TS val 1730239140 ecr 407625205], length 1156
19:19:42.816147 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 46348:47056, ack 37, win 501, options [nop,nop,TS val 1730239140 ecr 407625205], length 708
19:19:42.816316 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 47056:47988, ack 37, win 501, options [nop,nop,TS val 1730239140 ecr 407625205], length 932
19:19:42.816486 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 47988:48696, ack 37, win 501, options [nop,nop,TS val 1730239140 ecr 407625205], length 708
19:19:42.816642 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 48696:48976, ack 37, win 501, options [nop,nop,TS val 1730239141 ecr 407625205], length 280
19:19:42.833713 IP cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841 > ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 48976, win 7002, options [nop,nop,TS val 407625308 ecr 1730239141], length 0
19:19:42.919758 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 48976:49236, ack 37, win 501, options [nop,nop,TS val 1730239244 ecr 407625308], length 260
19:19:42.919911 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 49236:50176, ack 37, win 501, options [nop,nop,TS val 1730239244 ecr 407625308], length 940
19:19:42.920033 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 50176:50644, ack 37, win 501, options [nop,nop,TS val 1730239244 ecr 407625308], length 468
19:19:42.920176 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 50644:50680, ack 37, win 501, options [nop,nop,TS val 1730239244 ecr 407625308], length 36
19:19:42.938209 IP cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841 > ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 50680, win 7002, options [nop,nop,TS val 407625411 ecr 1730239244], length 0
19:19:43.023786 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 50680:50940, ack 37, win 501, options [nop,nop,TS val 1730239348 ecr 407625411], length 260
19:19:43.023915 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 50940:51648, ack 37, win 501, options [nop,nop,TS val 1730239348 ecr 407625411], length 708
19:19:43.024122 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 51648:51892, ack 37, win 501, options [nop,nop,TS val 1730239348 ecr 407625411], length 244
19:19:43.045545 IP cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841 > ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 51892, win 7002, options [nop,nop,TS val 407625514 ecr 1730239348], length 0
19:19:43.127843 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 51892:52152, ack 37, win 501, options [nop,nop,TS val 1730239452 ecr 407625514], length 260
19:19:43.128028 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 52152:52844, ack 37, win 501, options [nop,nop,TS val 1730239452 ecr 407625514], length 692
19:19:43.144872 IP cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841 > ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 52844, win 7002, options [nop,nop,TS val 407625619 ecr 1730239452], length 0
200 packets captured
205 packets received by filter
0 packets dropped by kernel
